,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ESG Book - ESG Regulations Library - Reporting Exchange Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meta ID*,Country Code*,Name ,Regulation Alias,Authority*,Source URL*,Region*,Country*,Summary*,Conditions of the Regulation,Employee count,Currency  (USD or EUR),Turnover ,Currency  (USD or EUR),Balance sheet,Public/Private,Penalties for non-compliance,AUM,Applies to Non-EU/ Non- Domicile,Obligation*,Subject tagging (high-level),Environmental,Social,Governance,Publication Date*,Entry into Force,Current stage,Applicability date,First Reporting Expected,Parent regulation (Meta ID),Relationship type,Applicability,Sector,Related ESG Regulations,Last Updated,,,,,,,,
,reg/GHA_9,GHA,Listing Rules for Ghana Stock Exchange,,Ghana Stock Exchange,https://gse.com.gh/listing-rules/,Africa & Middle East,Ghana,"The Listing Rules for Ghana Stock Exchange set out the rules and expected behavior of companies that are listed on Ghana's stock exchange. As part of these rules, all listed companies are required to produce annual reports and audited financial statements for disclosure to the market and wider stakeholders. The annual report and financial statements are to be prepared in accordance with Section 127 of the Companies Code (Act 179, 1963), as amended, and regulations produced by the Securities and Exchange Commission. In addition, the Ghana Stock Exchange requires listed companies to further disclose details of key personnel and shareholders and the particulars of defined loans.",Applicable to all listed companies,,,,,,Public,,,,Mandatory,G,,,"Leadership: Role (i.e. management; strategy; aims), Leadership: Structure (i.e. responsibilities), Accountability: Financial and business reporting, Accountability: Audit",01/01/2006,12/11/90,In force ,12/11/90,,,,Corporations ,Universal,Mandatory Disclosure Items for Public Companies in Ghana,01/04/2025,,,,,,,,
,reg/GBR_10,GBR,London Stock Exchange Listing Requirement - Corporate Governance,,London Stock Exchange,https://docs.londonstockexchange.com/sites/default/files/documents/aimrulescompaniesmay2014.pdf,Europe,United Kingdom,"Issuers with a Premium Listing are required to meet the UK's super-equivalent rules which are higher than the EU minimum requirements.  A Premium Listing means the company is expected to meet the UK's highest standards of regulation and corporate governance - and as a consequence may enjoy a lower cost of capital through greater transparency and through building investor confidence. The Corporate Governance Code is published by the Financial Reporting Council and contains a number of rules governing the composition and operation of the board of directors and board committees of a listed company. Among other things, the Code requires that (except for smaller companies outside the FTSE 350) at least half the board (excluding the Chairman) is comprised of independent nonexecutive directors.","Premium listed companies are required to comply with the Code, or explain the reasons for non-compliance in its annual report.",,,,,,Public,,,,Comply or Explain,G,,,"Leadership: Role (i.e. management; strategy; aims), Leadership: Structure (i.e. responsibilities), Leadership: The chairman, Leadership: Non-executive directors, Effectiveness: Development (i.e. skills and knowledge), Effectiveness: Information and support (i.e. form and quality), Effectiveness: Evaluation (i.e. performance), Effectiveness: Succession (i.e. appointment; re-election), Accountability: Financial and business reporting, Accountability: Risk management and internal control, Accountability: Audit, Remuneration: The level and components of remuneration (i.e. alignment of directors; executive offers; CEO pay with sustained value creation)",01/01/2014,29/07/24,In force ,29/07/24,,,,Corporations ,Universal,,08/02/2024,,,,,,,,
,reg/UAE_2,UAE,ESG Disclosure Guidance for Listed Companies,,Abu Dhabi Securities Exchange (ADX),https://adxservices.adx.ae/WebServices/DataServices/contentDownload.aspx?doc=1704806,Africa & Middle East,United Arab Emirates,Abu Dhabi Securities Exchange has made a formal commitment to drive sustainability in financial markets by becoming a partner exchange of the United Nations led in initiative - The Sustainable Stock Exchange initiative (SSE).The guidance works in alignment with the UAE National Vision 2021 and Abu Dhabi Economic Vision 2020 to support their listed issuer's sustainability reporting journey. It provides 31 ESG indicators that are considered essential to report in alignment with the recommendations of the Sustainable Stock Exchanges (SSE) Initiative and the World Federation of Exchanges (WFE). The indicators are also mapped against Global Reporting Initiative (GRI) indicators and the Sustainable Development Goals (SDGs) for companies willing to adopt more detailed sustainability reporting standards that go beyond this report.,ESG guidance for listed companies ,,,,,,Public,,,,Voluntary,ESG,,,,01/07/2019,01/06/25,In force / Phased Implementation,01/06/25,01/06/26,,,Corporations,"Agriculture, Forestry, Fishing, Coal & lignite mining, Petroleum & natural gas extraction, Metal ore mining, Other mining, Mining support services, Food, Beverages, Tobacco, Textiles, Apparel, Leather, Wood products (except furniture), Paper products, Printing & reproduction, Coke & refined petroleum, Chemicals, Pharmaceutical, Rubber & plastics, Non-metallic mineral, Basic metals, Fabricated metal, Computer; electronic & optical, Electrical equipment, Machinery & equipment, Motor vehicles & trailers, Other transport equipment, Furniture, Other manufacturing, Machinery & equipment repair, Electricity; gas; steam & air conditioning supply, Water collection; treatment & supply, Sewerage, Waste recovery; collection; treatment & disposal, Remediation, Buildings, Civil engineering, Specialized construction activities, Motor vehicles & motorcycles, Other wholesale, Other retail, Land & pipeline transport, Water transport, Air transport, Warehousing & support, Postal & courier, Accommodation, Food & beverage service, Publishing",,08/02/2024,,,,,,,,
,reg/IND_42,IND,Business Responsibility and Sustainability Reporting (BRSR) Framework (Core),,Securities and Exchange Board of India (SEBI),https://www.sebi.gov.in/legal/circulars/may-2021/business-responsibility-and-sustainability-reporting-by-listed-entities_50096.html,Asia Pacific,India,"On 28 March, 2023, SEBI introduced the BRSR (Business Responsibility and Sustainability Report) Core to enhance the reliability of ESG disclosures which contains a limited set of Key Performance Indicators (KPIs), for which listed entities shall need to obtain reasonable assurance.  
The SEBI board approved several relaxations and updates for ESG disclosures. These include ""deferring ESG disclosures for value chain"", as well as ""assessment or assurance"" thereof, by one year. Hence, ESG disclosures for value chain shall apply from FY26 (as against the current requirement of FY 2024-25) and ""assessment or assurance"" thereof shall be applicable from FY 2026-27 (as against the current requirement of FY 2025-26). Assessments will be conducted by third parties based on standards developed by the Industry Standards Forum (ISF) in consultation with Sebi. This applies to BRSR Core disclosures from FY25 for listed entities and FY27 for the value chain. ",The framework establishes a glide path for top 150 listed firms in terms of market share from FY24. This path is likely to rise to top 1000 listed firms by FY27.,,,,,,Public,,,,Mandatory,ESG,,,,18/12/2023,"May 10, 2021",In force / Phased Implementation,01/01/23,01/01/23,,,"Corporations, Investment Managers",Universal,,30/12/2024,,,,,,,,
,reg/AUS_59,AUS,Climate-related financial disclosure (consultation paper),,Australian Government Treasury,https://treasury.gov.au/sites/default/files/2023-06/c2023-402245.pdf,Asia Pacific,Australia,This regulation proposes to require companies which meet prescribed size thresholds and are required to disclose financial reports to report on climate‑related financial risks and opportunities.,Applicable to all Australian listed companies.,,,,,,Public,,,,Mandatory,E ,"Climate change: GHG emissions, Climate change: Adaptation, Climate change: Mitigation",,,27/06/2023,,Consultation Closed,,01/01/25,,,Corporations,,,08/02/2024,,,,,,,,
,reg/THA_18,THA,"ISSB Standards, Thailand (Public Consultation)",,Securities and Exchange Commission of Thailand,https://www.sec.or.th/EN/Pages/PB_Detail.aspx?SECID=1029,Asia Pacific,Thailand,"The Securities and Exchange Commission of Thailand (SEC Thailand) has published a roadmap for the adoption of ISSB standards. The roadmap foresees that the existing sustainability reporting requirements in Thailand are amended to align them with IFRS S1 and IFRS S2 with the intention to reduce the burden for listed companies and create comparability between those companies. Limited assurance will be required for the disclosure of greenhouse gas emission information. 

The consultation period for the roadmap ends on 19 December 2024. ","The proposed timeline for the adoption of IFRS S1 and IFRS S2 is as follows:
- From 2026: Companies listed in the SET50 group
- From 2027: Companies listed in the SET100 group
- From 2029: Listed companies and new issuers in SET 
- From 2030: Listed companies and new issuers in MAI, REIT, IFF, and the Infra Trust and Property Fund ",,,,,,Public ,,,,Mandatory,ESG,Climate change: GHG emissions,Suppliers: Suppliers screening; policies and processes,"Accountability: Financial and business reporting, Accountability: Risk management and internal control, Leadership: Accountability, Relations with shareholders: Dialogue with shareholders (i.e. providing sufficient information)",21/11/2024,,Consultation Open,,01/01/27,,,Corporations,Universal,IFRS S1 and IFRS S2 Sustainability Standards,01/12/2024,,,,,,,,
,reg/FRA_51,FRA,"Ordinance No. 2023-1142 of December 6, 2023 relating to the publication and certification of information regarding sustainability and the environmental, social and corporate governance obligations of commercial companies",France – Ordinance 2023-1142 (Sustainability & ESG Reporting for Companies),French Government,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000048519395,Europe,France,"On April 3, 2025, the French Parliament passed a law delaying CSRD application by two years, aligning with the EU’s “Stop the clock” proposal. Companies set to report in 2026 and 2027 will instead report in 2028 and 2029, respectively. More available here: https://www.senat.fr/rap/a24-390/a24-3900.html","Under the new Stop the Clock Directive, the measures imposed by the CSRD will be extended for certain in-scope organisations. The measures will now apply from the financial year beginning on:
1 January 2027 instead of 2025 (or a later date), for large companies and parent companies of large groups;
1 January 2028 instead of 2026 (or a later date), for listed small and medium-sized enterprises, small and non-complex credit institutions and captive insurance and reinsurance undertakings.",,,,,,Public/Private,,,,Mandatory,ESG,"Biodiversity and ecosystem services: Biodiversity, Climate change: GHG emissions, Emissions/ Pollution: Fossil Fuels, Emissions/ Pollution: Incidents, Emissions/ Pollution: Inorganic pollutants, Emissions/ Pollution: Light, Emissions/ Pollution: Noise, Emissions/ Pollution: Odor, Emissions/ Pollution: Other effluents, Emissions/ Pollution: Other emissions, Energy: Energy use, Land use: Conservation, Land use: Degradation, Land use: Drylands, Land use: Forests, Land use: Land use policies and processes, Land use: Restoration, Land use: Soil, Land use: Wetlands, Oceans: Fisheries, Oceans: Marine conservation, Waste: Treatment; disposal and storage, Water: Water use, Water: Water reuse/ recycling, Water: Water management, Water: Treatment and discharge","Employment conditions; policies and practices: Compensation and benefits (earnings; wages; pensions; childcare services and benefits and social security), Employment conditions; policies and practices: Diversity, Employment conditions; policies and practices: Engagement, Employment conditions; policies and practices: Recruitment and retention, Employment conditions; policies and practices: Training and development, Human Rights: Forced labor, Human Rights: Freedom of association and collective bargaining","Leadership: Structure (i.e. responsibilities), Remuneration: The level and components of remuneration (i.e. alignment of directors; executive offers; CEO pay with sustained value creation)",03/04/2025,06/12/23,In force / Phased Implementation,,01/01/25,,,Corporations,Universal,"Directive amending Directive 2013/34/EU, Directive 2004/109/EC, Directive 2006/43/EC and Regulation (EU) No 537/2014, as regards corporate sustainability reporting (CSRD), ‘Stop the Clock’ Directive",26/05/2025,,,,,,,,
